year,finish_type,n,share
1994,KO/TKO,11,0.3548387096774194
1994,Submission,20,0.6451612903225806
1995,Decision,3,0.075
1995,KO/TKO,15,0.375
1995,Other,2,0.05
1995,Submission,20,0.5
1996,Decision,5,0.11627906976744186
1996,KO/TKO,27,0.627906976744186
1996,Submission,11,0.2558139534883721
1997,Decision,8,0.1951219512195122
1997,KO/TKO,13,0.3170731707317073
1997,Other,1,0.024390243902439025
1997,Submission,19,0.4634146341463415
1998,Decision,8,0.32
1998,KO/TKO,9,0.36
1998,Submission,8,0.32
1999,Decision,11,0.25
1999,KO/TKO,26,0.5909090909090909
1999,Submission,7,0.1590909090909091
2000,Decision,17,0.3953488372093023
2000,KO/TKO,14,0.32558139534883723
2000,Other,1,0.023255813953488372
2000,Submission,11,0.2558139534883721
2001,Decision,12,0.3
2001,KO/TKO,17,0.425
2001,Other,2,0.05
2001,Submission,9,0.225
2002,Decision,15,0.2830188679245283
2002,KO/TKO,29,0.5471698113207547
2002,Other,1,0.018867924528301886
2002,Submission,8,0.1509433962264151
2003,Decision,14,0.34146341463414637
2003,KO/TKO,18,0.43902439024390244
2003,Other,1,0.024390243902439025
2003,Submission,8,0.1951219512195122
2004,Decision,8,0.3333333333333333
2004,KO/TKO,10,0.4166666666666667
2004,Submission,6,0.25
2005,Decision,18,0.24324324324324326
2005,KO/TKO,34,0.4594594594594595
2005,Other,1,0.013513513513513514
2005,Submission,21,0.28378378378378377
2006,Decision,52,0.3291139240506329
2006,KO/TKO,59,0.37341772151898733
2006,Submission,47,0.2974683544303797
2007,Decision,62,0.36257309941520466
2007,KO/TKO,53,0.30994152046783624
2007,Other,2,0.011695906432748537
2007,Submission,54,0.3157894736842105
2008,Decision,64,0.31840796019900497
2008,KO/TKO,86,0.42786069651741293
2008,Submission,51,0.2537313432835821
2009,Decision,92,0.42790697674418604
2009,KO/TKO,75,0.3488372093023256
2009,Other,2,0.009302325581395349
2009,Submission,46,0.21395348837209302
2010,Decision,124,0.4901185770750988
2010,KO/TKO,69,0.2727272727272727
2010,Other,1,0.003952569169960474
2010,Submission,59,0.233201581027668
2011,Decision,147,0.49
2011,KO/TKO,95,0.31666666666666665
2011,Other,3,0.01
2011,Submission,55,0.18333333333333332
2012,Decision,158,0.4633431085043988
2012,KO/TKO,105,0.30791788856304986
2012,Other,8,0.02346041055718475
2012,Submission,70,0.20527859237536658
2013,Decision,179,0.4637305699481865
2013,KO/TKO,130,0.33678756476683935
2013,Other,10,0.025906735751295335
2013,Submission,67,0.17357512953367876
2014,Decision,247,0.49105367793240556
2014,KO/TKO,152,0.30218687872763417
2014,Other,9,0.017892644135188866
2014,Submission,95,0.18886679920477137
2015,Decision,221,0.46723044397463004
2015,KO/TKO,155,0.3276955602536998
2015,Other,9,0.019027484143763214
2015,Submission,88,0.18604651162790697
2016,Decision,248,0.5030425963488844
2016,KO/TKO,153,0.3103448275862069
2016,Other,3,0.006085192697768763
2016,Submission,89,0.18052738336713997
2017,Decision,224,0.49015317286652077
2017,KO/TKO,146,0.31947483588621445
2017,Other,7,0.015317286652078774
2017,Submission,80,0.175054704595186
2018,Decision,229,0.4831223628691983
2018,KO/TKO,151,0.31856540084388185
2018,Other,4,0.008438818565400843
2018,Submission,90,0.189873417721519
2019,Decision,277,0.5368217054263565
2019,KO/TKO,153,0.29651162790697677
2019,Other,6,0.011627906976744186
2019,Submission,80,0.15503875968992248
2020,Decision,225,0.4945054945054945
2020,KO/TKO,139,0.3054945054945055
2020,Other,9,0.01978021978021978
2020,Submission,82,0.18021978021978022
2021,Decision,256,0.5029469548133595
2021,KO/TKO,171,0.33595284872298625
2021,Other,9,0.01768172888015717
2021,Submission,73,0.14341846758349705
2022,Decision,239,0.46771037181996084
2022,KO/TKO,171,0.33463796477495106
2022,Other,3,0.005870841487279843
2022,Submission,98,0.1917808219178082
2023,Decision,248,0.47692307692307695
2023,KO/TKO,159,0.3057692307692308
2023,Other,11,0.021153846153846155
2023,Submission,102,0.19615384615384615
2024,Decision,281,0.5435203094777563
2024,KO/TKO,147,0.28433268858800775
2024,Other,6,0.01160541586073501
2024,Submission,83,0.16054158607350097
2025,Decision,257,0.49233716475095785
2025,KO/TKO,169,0.32375478927203066
2025,Other,4,0.007662835249042145
2025,Submission,92,0.17624521072796934
2026,Decision,127,0.4847328244274809
2026,KO/TKO,88,0.33587786259541985
2026,Other,2,0.007633587786259542
2026,Submission,45,0.1717557251908397
